company_id,label,member
# Maps a company-defined segment/geographic label (from your segment_code, after
# stripping the leading period prefix like "2020Q1_") to the XBRL member for that
# filer. Needed for BUSINESS SEGMENTS and for geographic regions not covered by
# the built-in country map (China->CN, US->US, Taiwan->TW, Japan->JP, Korea->KR,
# Europe->EuropeMember).
#
# US (EDGAR): `member` is the EXACT member local-name in the filing, e.g. Qorvo:
# 101,HPA,HPAMember
# 101,CSG,CSGMember
# 101,ACG,ACGMember
# 101,Other Asia,OtherAsiaMember
#
# Japan (EDINET): `member` is any SUBSTRING of the reportable-segment / geographic
# member local-name that appears in the report's context ids, e.g. Sony
# (context ...GameAndNetworkServicesReportableSegmentMember):
# 301,Game & Network Services,GameAndNetworkServices
# 301,Music,Music
# 301,Imaging & Sensing Solutions,ImagingAndSensingSolutions
#
# Korea (OpenDART notes): geographic revenue matches by region name automatically
# (no mapping needed; country- and continent-level names are recognised). Add a
# geo row only to alias an unusual region label, e.g. 103,Greater China,중국.
# BUSINESS segments: `member` is the 부문 name used in the reportable-segment
# (보고부문) note, matched as a substring, e.g. Samsung Electronics:
# 201,Semiconductors,DS
# 201,Device eXperience,DX
#
# Taiwan: segment/geo is footnote-only (MOPS TIFRS PDF) and not in any free API,
# so those rows report SEGMENT_SOURCE_UNAVAILABLE regardless of what is mapped here.
